,last_fill_price_close,close_creation_date,qty_executed_close,last_fill_price_open,qty_executed_open,order_transaction_date,env,position_id,order_creation_date,average_fill_price_close,closing_order_id,close_transaction_date,order_id,option_symbol,underlying_symbol,average_fill_price_open,execution_strategy,close_reason,spread_position,average_fill_price_close_float,average_fill_price_open_float,pnlcoefficient,winloss
10,0.08,2024-03-19T16:06:39.149Z,1.0,0.07,1.0,2024-03-19T16:06:39.163Z,PROD_VAL,DIS-CDBFC1D-2024-03-19T16-06,2024-03-19T16:06:39.149Z,0.08,10866334,2024-03-20T13:50:57.924Z,10851402,DIS240322C00120000,DIS,0.07,None,"Failed momentum gate, sell.",,0.08,0.07,0.009999999999999995,W
11,0.11,2024-03-18T16:06:13.231Z,1.0,0.06,1.0,2024-03-18T16:06:13.245Z,PROD_VAL,C-CDBFC1D-2024-03-18T16-06,2024-03-18T16:06:13.231Z,0.11,10846896,2024-03-19T13:50:48.429Z,10833358,C240322C00061000,C,0.06,None,"Hit exit target, sell.",,0.11,0.06,0.05,W
12,0.13,2024-03-18T14:06:58.084Z,1.0,0.4,1.0,2024-03-18T14:06:58.230Z,PROD_VAL,IWM-CDBFC1D-2024-03-18T14-06,2024-03-18T14:06:58.084Z,0.13,10846846,2024-03-19T13:50:38.544Z,10829664,IWM240322C00208000,IWM,0.4,None,"Hit point of no confidence, sell.",,0.13,0.4,-0.27,L
13,0.04,2024-03-18T18:06:26.603Z,1.0,0.03,1.0,2024-03-18T18:06:26.616Z,PROD_VAL,C-CDBFC1D-2024-03-18T18-06,2024-03-18T18:06:26.603Z,0.04,10846985,2024-03-19T13:51:01.617Z,10836837,C240322C00062000,C,0.03,None,"Hit exit target, sell.",,0.04,0.03,0.010000000000000002,W
14,0.13,2024-03-19T18:06:32.263Z,1.0,0.26,1.0,2024-03-19T18:06:32.281Z,PROD_VAL,CVX-CDBFC1D-2024-03-19T18-06,2024-03-19T18:06:32.263Z,0.13,10866303,2024-03-20T13:50:50.743Z,10854463,CVX240322C00160000,CVX,0.26,None,"Hit point of no confidence, sell.",,0.13,0.26,-0.13,L
15,0.31,2024-03-19T15:06:34.531Z,1.0,0.22,1.0,2024-03-19T15:06:34.568Z,PROD_VAL,IWM-CDBFC1D-2024-03-19T15-06,2024-03-19T15:06:34.531Z,0.31,10866768,2024-03-20T14:00:55.778Z,10849372,IWM240322C00207000,IWM,0.22,None,"Failed momentum gate, sell.",,0.31,0.22,0.09,W
16,0.08,2024-03-19T17:06:41.941Z,3.0,0.11,3.0,2024-03-19T17:06:41.966Z,PROD_VAL,BAC-CDBFC1D-2024-03-19T17-06,2024-03-19T17:06:41.941Z,0.08,10854113,2024-03-19T17:51:11.344Z,10853229,BAC240322C00037000,BAC,0.11,None,"Breached floor pct, sell. -0.003865801463481998 -0.00278586245937795",,0.08,0.11,-0.03,L
17,0.11,2024-03-18T15:06:09.134Z,2.0,0.07,2.0,2024-03-18T15:06:09.153Z,PROD_VAL,C-CDBFC1D-2024-03-18T15-05,2024-03-18T15:06:09.134Z,0.11,10846981,2024-03-19T13:51:00.241Z,10831956,C240322C00061000,C,0.07,None,"Hit exit target, sell.",,0.11,0.07,0.039999999999999994,W
18,0.15,2024-03-18T17:07:15.369Z,1.0,0.28,1.0,2024-03-18T17:07:15.389Z,PROD_VAL,SBUX-CDBFC1D-2024-03-18T17-07,2024-03-18T17:07:15.369Z,0.15,10846821,2024-03-19T13:50:35.113Z,10835527,SBUX240322C00093000,SBUX,0.28,None,"Failed momentum gate, sell.",,0.15,0.28,-0.13000000000000003,L
19,0.13,2024-03-18T17:07:12.646Z,1.0,0.37,1.0,2024-03-18T17:07:12.666Z,PROD_VAL,IWM-CDBFC1D-2024-03-18T17-07,2024-03-18T17:07:12.646Z,0.13,10846878,2024-03-19T13:50:45.631Z,10835520,IWM240322C00208000,IWM,0.37,None,"Hit point of no confidence, sell.",,0.13,0.37,-0.24,L
20,0.19,2024-03-19T14:06:37.919Z,1.0,0.22,1.0,2024-03-19T14:06:37.952Z,PROD_VAL,SBUX-CDBFC1D-2024-03-19T14-06,2024-03-19T14:06:37.919Z,0.19,10853679,2024-03-19T17:31:00.272Z,10847807,SBUX240322C00093000,SBUX,0.22,None,"Breached floor pct, sell. -0.0045836516424751905 -0.00398905500741425",,0.19,0.22,-0.03,L
21,0.05,2024-03-19T17:06:42.482Z,3.0,0.08,3.0,2024-03-19T17:06:42.497Z,PROD_VAL,C-CDBFC1D-2024-03-19T17-06,2024-03-19T17:06:42.482Z,0.05,10854845,2024-03-19T18:20:48.848Z,10853231,C240322C00061000,C,0.08,None,"Breached floor pct, sell. -0.0042351346772827375 -0.0035704352112718",,0.05,0.08,-0.03,L
22,0.14,2024-03-18T19:06:10.710Z,1.0,0.2,1.0,2024-03-18T19:06:10.738Z,PROD_VAL,UBER-CDBFC1D-2024-03-18T19-06,2024-03-18T19:06:10.710Z,0.14,10846816,2024-03-19T13:50:34.704Z,10838607,UBER240322C00080000,UBER,0.2,None,"Hit point of no confidence, sell.",,0.14,0.2,-0.06,L
23,0.13,2024-03-18T16:06:10.983Z,1.0,0.39,1.0,2024-03-18T16:06:11.000Z,PROD_VAL,IWM-CDBFC1D-2024-03-18T16-06,2024-03-18T16:06:10.983Z,0.13,10846869,2024-03-19T13:50:43.458Z,10833355,IWM240322C00208000,IWM,0.39,None,"Hit point of no confidence, sell.",,0.13,0.39,-0.26,L
24,0.4,2024-03-19T15:06:39.834Z,1.0,0.27,1.0,2024-03-19T15:06:39.881Z,PROD_VAL,PLTR-CDBFC1D-2024-03-19T15-06,2024-03-19T15:06:39.834Z,0.4,10866182,2024-03-20T13:50:31.371Z,10849391,PLTR240322C00024000,PLTR,0.27,None,"Failed momentum gate, sell.",,0.4,0.27,0.13,W
25,0.03,2024-03-19T15:06:36.020Z,1.0,0.06,1.0,2024-03-19T15:06:36.044Z,PROD_VAL,DIS-CDBFC1D-2024-03-19T15-06,2024-03-19T15:06:36.020Z,0.03,10867172,2024-03-20T14:10:50.664Z,10849379,DIS240322C00121000,DIS,0.06,None,"Failed momentum gate, sell.",,0.03,0.06,-0.03,L
26,0.52,2024-03-19T15:06:36.286Z,1.0,0.36,1.0,2024-03-19T15:06:36.447Z,PROD_VAL,INTC-CDBFC1D-2024-03-19T15-06,2024-03-19T15:06:36.286Z,0.52,10867165,2024-03-20T14:10:47.895Z,10849381,INTC240322C00042500,INTC,0.36,None,"Failed momentum gate, sell.",,0.52,0.36,0.16000000000000003,W
27,0.1,2024-03-18T19:06:11.353Z,1.0,0.33,1.0,2024-03-18T19:06:11.367Z,PROD_VAL,SNOW-CDBFC1D-2024-03-18T19-06,2024-03-18T19:06:11.353Z,0.1,10846904,2024-03-19T13:50:49.706Z,10838611,SNOW240322C00170000,SNOW,0.33,None,"Hit point of no confidence, sell.",,0.1,0.33,-0.23,L
28,0.1,2024-03-18T17:07:14.832Z,1.0,0.32,1.0,2024-03-18T17:07:14.845Z,PROD_VAL,SNOW-CDBFC1D-2024-03-18T17-07,2024-03-18T17:07:14.832Z,0.1,10846786,2024-03-19T13:50:30.469Z,10835525,SNOW240322C00170000,SNOW,0.32,None,"Hit point of no confidence, sell.",,0.1,0.32,-0.22,L
29,0.08,2024-03-19T14:06:34.552Z,3.0,0.1,3.0,2024-03-19T14:06:34.574Z,PROD_VAL,BAC-CDBFC1D-2024-03-19T14-06,2024-03-19T14:06:34.552Z,0.08,10854097,2024-03-19T17:50:56.244Z,10847786,BAC240322C00037000,BAC,0.1,None,"Breached floor pct, sell. -0.00276548672566356 -0.0024546432909495",,0.08,0.1,-0.020000000000000004,L
30,0.04,2024-03-19T14:06:39.628Z,1.0,0.06,1.0,2024-03-19T14:06:39.642Z,PROD_VAL,SBUX-CDBFC1D-2024-03-19T14-06,2024-03-19T14:06:39.628Z,0.04,10853487,2024-03-19T17:21:03.820Z,10847815,SBUX240322C00095000,SBUX,0.06,None,"Breached floor pct, sell. -0.00414711339081082 -0.00398905500741425",,0.04,0.06,-0.019999999999999997,L
31,0.12,2024-03-19T14:06:37.659Z,1.0,0.08,1.0,2024-03-19T14:06:37.684Z,PROD_VAL,UBER-CDBFC1D-2024-03-19T14-06,2024-03-19T14:06:37.659Z,0.12,10866330,2024-03-20T13:50:57.163Z,10847805,UBER240322C00081000,UBER,0.08,None,"Hit exit target, sell.",,0.12,0.08,0.039999999999999994,W
32,0.19,2024-03-19T15:06:37.081Z,1.0,0.28,1.0,2024-03-19T15:06:37.154Z,PROD_VAL,QCOM-CDBFC1D-2024-03-19T15-06,2024-03-19T15:06:37.081Z,0.19,10866356,2024-03-20T13:51:02.001Z,10849383,QCOM240322C00172500,QCOM,0.28,None,"Failed momentum gate, sell.",,0.19,0.28,-0.09000000000000002,L
33,0.11,2024-03-18T14:07:01.365Z,2.0,0.06,2.0,2024-03-18T14:07:01.491Z,PROD_VAL,C-CDBFC1D-2024-03-18T14-06,2024-03-18T14:07:01.365Z,0.11,10846916,2024-03-19T13:50:51.301Z,10829669,C240322C00061000,C,0.06,None,"Hit exit target, sell.",,0.11,0.06,0.05,W
34,0.02,2024-03-19T17:06:42.719Z,2.0,0.03,2.0,2024-03-19T17:06:42.737Z,PROD_VAL,C-CDBFC1D-2024-03-19T17-06,2024-03-19T17:06:42.719Z,0.02,10854852,2024-03-19T18:21:02.344Z,10853233,C240322C00062000,C,0.03,None,"Breached floor pct, sell. -0.0038116212095544878 -0.0035704352112718",,0.02,0.03,-0.009999999999999998,L
35,0.23,2024-03-19T19:05:58.715Z,1.0,0.19,1.0,2024-03-19T19:05:58.732Z,PROD_VAL,TSLA-CDBFC1D-2024-03-19T19-05,2024-03-19T19:05:58.715Z,0.23,10866227,2024-03-20T13:50:38.631Z,10855774,TSLA240322C00187500,TSLA,0.19,None,"Failed momentum gate, sell.",,0.23,0.19,0.04000000000000001,W
36,0.11,2024-03-18T19:06:09.257Z,2.0,0.07,2.0,2024-03-18T19:06:09.278Z,PROD_VAL,C-CDBFC1D-2024-03-18T19-06,2024-03-18T19:06:09.257Z,0.11,10846907,2024-03-19T13:50:50.125Z,10838601,C240322C00061000,C,0.07,None,"Hit exit target, sell.",,0.11,0.07,0.039999999999999994,W
37,0.08,2024-03-19T16:06:36.119Z,2.0,0.11,2.0,2024-03-19T16:06:36.134Z,PROD_VAL,BAC-CDBFC1D-2024-03-19T16-06,2024-03-19T16:06:36.119Z,0.08,10853928,2024-03-19T17:41:01.369Z,10851387,BAC240322C00037000,BAC,0.11,None,"Breached floor pct, sell. -0.0030357389264523095 -0.0026237764833385",,0.08,0.11,-0.03,L
38,0.16,2024-03-18T17:07:14.012Z,1.0,0.36,1.0,2024-03-18T17:07:14.026Z,PROD_VAL,PYPL-CDBFC1D-2024-03-18T17-07,2024-03-18T17:07:14.012Z,0.16,10846840,2024-03-19T13:50:37.608Z,10835523,PYPL240322C00067000,PYPL,0.36,None,"Hit point of no confidence, sell.",,0.16,0.36,-0.19999999999999998,L
39,0.23,2024-03-19T16:06:39.424Z,1.0,0.24,1.0,2024-03-19T16:06:39.474Z,PROD_VAL,TSLA-CDBFC1D-2024-03-19T16-06,2024-03-19T16:06:39.424Z,0.23,10866300,2024-03-20T13:50:50.261Z,10851404,TSLA240322C00187500,TSLA,0.24,None,"Failed momentum gate, sell.",,0.23,0.24,-0.009999999999999981,L
40,0.13,2024-03-19T18:06:30.165Z,1.0,0.24,1.0,2024-03-19T18:06:30.187Z,PROD_VAL,IWM-CDBFC1D-2024-03-19T18-06,2024-03-19T18:06:30.165Z,0.13,10866263,2024-03-20T13:50:45.028Z,10854450,IWM240322C00209000,IWM,0.24,None,"Failed momentum gate, sell.",,0.13,0.24,-0.10999999999999999,L
41,0.05,2024-03-18T18:06:28.806Z,1.0,0.11,1.0,2024-03-18T18:06:28.836Z,PROD_VAL,ABNB-CDBFC1D-2024-03-18T18-06,2024-03-18T18:06:28.806Z,0.05,10846964,2024-03-19T13:50:56.910Z,10836849,ABNB240322C00175000,ABNB,0.11,None,"Failed momentum gate, sell.",,0.05,0.11,-0.06,L
42,0.03,2024-03-19T14:06:34.794Z,1.0,0.04,1.0,2024-03-19T14:06:34.863Z,PROD_VAL,BAC-CDBFC1D-2024-03-19T14-06,2024-03-19T14:06:34.794Z,0.03,10854091,2024-03-19T17:50:54.132Z,10847788,BAC240322C00037500,BAC,0.04,None,"Breached floor pct, sell. -0.00276548672566356 -0.0024546432909495",,0.03,0.04,-0.010000000000000002,L
43,0.03,2024-03-19T18:06:31.241Z,4.0,0.07,4.0,2024-03-19T18:06:31.264Z,PROD_VAL,BAC-CDBFC1D-2024-03-19T18-06,2024-03-19T18:06:31.241Z,0.03,10866235,2024-03-20T13:50:39.821Z,10854457,BAC240322C00037000,BAC,0.07,None,"Failed momentum gate, sell.",,0.03,0.07,-0.04000000000000001,L
44,0.42,2024-03-18T16:06:15.034Z,1.0,0.4,1.0,2024-03-18T16:06:15.055Z,PROD_VAL,ABNB-CDBFC1D-2024-03-18T16-06,2024-03-18T16:06:15.034Z,0.42,10846825,2024-03-19T13:50:35.549Z,10833363,ABNB240322C00170000,ABNB,0.4,None,"Failed momentum gate, sell.",,0.42,0.4,0.019999999999999962,W
45,0.13,2024-03-19T16:06:36.699Z,1.0,0.28,1.0,2024-03-19T16:06:36.718Z,PROD_VAL,CVX-CDBFC1D-2024-03-19T16-06,2024-03-19T16:06:36.699Z,0.13,10866189,2024-03-20T13:50:32.396Z,10851390,CVX240322C00160000,CVX,0.28,None,"Hit point of no confidence, sell.",,0.13,0.28,-0.15000000000000002,L
46,0.33,2024-03-18T14:07:01.888Z,1.0,0.45,1.0,2024-03-18T14:07:01.911Z,PROD_VAL,UBER-CDBFC1D-2024-03-18T14-06,2024-03-18T14:07:01.888Z,0.33,10846976,2024-03-19T13:50:58.984Z,10829670,UBER240322C00078000,UBER,0.45,None,"Failed momentum gate, sell.",,0.33,0.45,-0.12,L
47,0.73,2024-03-19T14:06:37.404Z,1.0,0.28,1.0,2024-03-19T14:06:37.425Z,PROD_VAL,UBER-CDBFC1D-2024-03-19T14-06,2024-03-19T14:06:37.404Z,0.73,10866290,2024-03-20T13:50:48.689Z,10847803,UBER240322C00078000,UBER,0.28,None,"Hit exit target, sell.",,0.73,0.28,0.44999999999999996,W
48,0.21,2024-03-18T19:06:11.609Z,1.0,0.23,1.0,2024-03-18T19:06:11.625Z,PROD_VAL,ABNB-CDBFC1D-2024-03-18T19-06,2024-03-18T19:06:11.609Z,0.21,10846993,2024-03-19T13:51:03.144Z,10838613,ABNB240322C00172500,ABNB,0.23,None,"Failed momentum gate, sell.",,0.21,0.23,-0.020000000000000018,L
49,0.04,2024-03-19T16:06:38.635Z,1.0,0.08,1.0,2024-03-19T16:06:38.655Z,PROD_VAL,C-CDBFC1D-2024-03-19T16-06,2024-03-19T16:06:38.635Z,0.04,10866214,2024-03-20T13:50:36.006Z,10851399,C240322C00061000,C,0.08,None,"Failed momentum gate, sell.",,0.04,0.08,-0.04,L
50,0.1,2024-03-18T19:06:09.689Z,1.0,0.18,1.0,2024-03-18T19:06:09.773Z,PROD_VAL,PYPL-CDBFC1D-2024-03-18T19-06,2024-03-18T19:06:09.689Z,0.1,10846966,2024-03-19T13:50:57.299Z,10838603,PYPL240322C00068000,PYPL,0.18,None,"Hit point of no confidence, sell.",,0.1,0.18,-0.07999999999999999,L
51,0.03,2024-03-19T14:06:35.364Z,1.0,0.08,1.0,2024-03-19T14:06:35.387Z,PROD_VAL,CVX-CDBFC1D-2024-03-19T14-06,2024-03-19T14:06:35.364Z,0.03,10866341,2024-03-20T13:50:59.104Z,10847791,CVX240322C00162500,CVX,0.08,None,"Failed momentum gate, sell.",,0.03,0.08,-0.05,L
52,0.13,2024-03-18T15:06:10.512Z,1.0,0.19,1.0,2024-03-18T15:06:10.531Z,PROD_VAL,UBER-CDBFC1D-2024-03-18T15-05,2024-03-18T15:06:10.512Z,0.13,10832541,2024-03-18T15:30:54.591Z,10831962,UBER240322C00080000,UBER,0.19,None,"Breached floor pct, sell. -0.008056461815034343 -0.0054409290253951",,0.13,0.19,-0.06,L
53,0.13,2024-03-19T17:06:43.204Z,1.0,0.1,1.0,2024-03-19T17:06:43.239Z,PROD_VAL,UBER-CDBFC1D-2024-03-19T17-06,2024-03-19T17:06:43.204Z,0.13,10866765,2024-03-20T14:00:53.553Z,10853235,UBER240322C00081000,UBER,0.1,None,"Hit exit target, sell.",,0.13,0.1,0.03,W
54,0.08,2024-03-18T17:07:13.107Z,1.0,0.18,1.0,2024-03-18T17:07:13.127Z,PROD_VAL,AAPL-CDBFC1D-2024-03-18T17-07,2024-03-18T17:07:13.107Z,0.08,10846804,2024-03-19T13:50:32.760Z,10835521,AAPL240322C00182500,AAPL,0.18,None,"Hit point of no confidence, sell.",,0.08,0.18,-0.09999999999999999,L
55,0.14,2024-03-18T16:06:14.536Z,1.0,0.12,1.0,2024-03-18T16:06:14.551Z,PROD_VAL,UBER-CDBFC1D-2024-03-18T16-06,2024-03-18T16:06:14.536Z,0.14,10846913,2024-03-19T13:50:50.739Z,10833361,UBER240322C00080000,UBER,0.12,None,"Failed momentum gate, sell.",,0.14,0.12,0.020000000000000018,W
56,0.17,2024-03-18T16:06:13.452Z,1.0,0.35,1.0,2024-03-18T16:06:13.470Z,PROD_VAL,PYPL-CDBFC1D-2024-03-18T16-06,2024-03-18T16:06:13.452Z,0.17,10846885,2024-03-19T13:50:46.918Z,10833359,PYPL240322C00067000,PYPL,0.35,None,"Hit point of no confidence, sell.",,0.17,0.35,-0.17999999999999997,L
57,0.22,2024-03-18T18:06:28.543Z,1.0,0.19,1.0,2024-03-18T18:06:28.593Z,PROD_VAL,ABNB-CDBFC1D-2024-03-18T18-06,2024-03-18T18:06:28.543Z,0.22,10846941,2024-03-19T13:50:54.476Z,10836847,ABNB240322C00172500,ABNB,0.19,None,"Failed momentum gate, sell.",,0.22,0.19,0.03,W
58,0.01,2024-03-18T14:06:58.503Z,1.0,0.06,1.0,2024-03-18T14:06:58.588Z,PROD_VAL,IWM-CDBFC1D-2024-03-18T14-06,2024-03-18T14:06:58.503Z,0.01,10846888,2024-03-19T13:50:47.508Z,10829665,IWM240322C00214000,IWM,0.06,None,"Hit point of no confidence, sell.",,0.01,0.06,-0.049999999999999996,L
59,0.17,2024-03-18T18:06:27.107Z,1.0,0.29,1.0,2024-03-18T18:06:27.128Z,PROD_VAL,PYPL-CDBFC1D-2024-03-18T18-06,2024-03-18T18:06:27.107Z,0.17,10846989,2024-03-19T13:51:02.338Z,10836838,PYPL240322C00067000,PYPL,0.29,None,"Hit point of no confidence, sell.",,0.17,0.29,-0.11999999999999997,L
60,0.03,2024-03-19T19:05:58.120Z,3.0,0.07,3.0,2024-03-19T19:05:58.141Z,PROD_VAL,BAC-CDBFC1D-2024-03-19T19-05,2024-03-19T19:05:58.120Z,0.03,10866255,2024-03-20T13:50:43.581Z,10855770,BAC240322C00037000,BAC,0.07,None,"Failed momentum gate, sell.",,0.03,0.07,-0.04000000000000001,L
61,0.26,2024-03-19T14:06:35.637Z,1.0,0.2,1.0,2024-03-19T14:06:35.654Z,PROD_VAL,DIS-CDBFC1D-2024-03-19T14-06,2024-03-19T14:06:35.637Z,0.26,10848202,2024-03-19T14:20:52.449Z,10847793,DIS240322C00117000,DIS,0.2,None,"Breached floor pct, sell. -0.004294478527607317 -0.00373570946754735",,0.26,0.2,0.06,W
62,0.88,2024-03-19T15:06:38.037Z,1.0,0.28,1.0,2024-03-19T15:06:38.054Z,PROD_VAL,SNOW-CDBFC1D-2024-03-19T15-06,2024-03-19T15:06:38.037Z,0.88,10866272,2024-03-20T13:50:46.488Z,10849387,SNOW240322C00165000,SNOW,0.28,None,VCSell,,0.88,0.28,0.6,W
63,0.02,2024-03-18T19:06:11.854Z,1.0,0.08,1.0,2024-03-18T19:06:11.982Z,PROD_VAL,ABNB-CDBFC1D-2024-03-18T19-06,2024-03-18T19:06:11.854Z,0.02,10846848,2024-03-19T13:50:39.103Z,10838615,ABNB240322C00177500,ABNB,0.08,None,"Failed momentum gate, sell.",,0.02,0.08,-0.06,L
64,0.31,2024-03-18T15:06:08.889Z,2.0,0.16,2.0,2024-03-18T15:06:08.904Z,PROD_VAL,C-CDBFC1D-2024-03-18T15-05,2024-03-18T15:06:08.889Z,0.31,10846851,2024-03-19T13:50:40.033Z,10831955,C240322C00060000,C,0.16,None,"Hit exit target, sell.",,0.31,0.16,0.15,W
65,0.01,2024-03-19T17:06:42.219Z,1.0,0.02,1.0,2024-03-19T17:06:42.252Z,PROD_VAL,BAC-CDBFC1D-2024-03-19T17-06,2024-03-19T17:06:42.219Z,0.01,10854101,2024-03-19T17:50:59.619Z,10853230,BAC240322C00038000,BAC,0.02,None,"Breached floor pct, sell. -0.004279994477426512 -0.00278586245937795",,0.01,0.02,-0.01,L
66,0.06,2024-03-19T17:06:44.091Z,1.0,0.07,1.0,2024-03-19T17:06:44.117Z,PROD_VAL,PLTR-CDBFC1D-2024-03-19T17-06,2024-03-19T17:06:44.091Z,0.06,10866259,2024-03-20T13:50:44.314Z,10853237,PLTR240322C00025500,PLTR,0.07,None,"Failed momentum gate, sell.",,0.06,0.07,-0.010000000000000009,L
67,0.03,2024-03-19T14:06:37.090Z,1.0,0.09,1.0,2024-03-19T14:06:37.166Z,PROD_VAL,XOM-CDBFC1D-2024-03-19T14-06,2024-03-19T14:06:37.090Z,0.03,10866348,2024-03-20T13:51:00.402Z,10847801,XOM240322C00117000,XOM,0.09,None,"Failed momentum gate, sell.",,0.03,0.09,-0.06,L
68,0.08,2024-03-19T14:06:36.488Z,1.0,0.07,1.0,2024-03-19T14:06:36.504Z,PROD_VAL,DIS-CDBFC1D-2024-03-19T14-06,2024-03-19T14:06:36.488Z,0.08,10848208,2024-03-19T14:20:55.885Z,10847796,DIS240322C00119000,DIS,0.07,None,"Breached floor pct, sell. -0.004294478527607317 -0.00373570946754735",,0.08,0.07,0.009999999999999995,W
69,0.11,2024-03-19T15:06:40.131Z,1.0,0.09,1.0,2024-03-19T15:06:40.154Z,PROD_VAL,PLTR-CDBFC1D-2024-03-19T15-06,2024-03-19T15:06:40.131Z,0.11,10866232,2024-03-20T13:50:39.313Z,10849392,PLTR240322C00025000,PLTR,0.09,None,"Failed momentum gate, sell.",,0.11,0.09,0.020000000000000004,W
70,0.22,2024-03-19T16:06:38.873Z,1.0,0.21,1.0,2024-03-19T16:06:38.895Z,PROD_VAL,DIS-CDBFC1D-2024-03-19T16-06,2024-03-19T16:06:38.873Z,0.22,10866322,2024-03-20T13:50:55.353Z,10851401,DIS240322C00118000,DIS,0.21,None,"Failed momentum gate, sell.",,0.22,0.21,0.010000000000000009,W
71,0.1,2024-03-18T18:06:28.241Z,1.0,0.29,1.0,2024-03-18T18:06:28.256Z,PROD_VAL,SNOW-CDBFC1D-2024-03-18T18-06,2024-03-18T18:06:28.241Z,0.1,10846928,2024-03-19T13:50:53.714Z,10836845,SNOW240322C00170000,SNOW,0.29,None,"Hit point of no confidence, sell.",,0.1,0.29,-0.18999999999999997,L
72,0.13,2024-03-19T17:06:41.494Z,1.0,0.27,1.0,2024-03-19T17:06:41.511Z,PROD_VAL,IWM-CDBFC1D-2024-03-19T17-06,2024-03-19T17:06:41.494Z,0.13,10866246,2024-03-20T13:50:42.138Z,10853228,IWM240322C00209000,IWM,0.27,None,"Hit point of no confidence, sell.",,0.13,0.27,-0.14,L
73,0.39,2024-03-19T18:06:32.834Z,1.0,0.27,1.0,2024-03-19T18:06:32.862Z,PROD_VAL,TSLA-CDBFC1D-2024-03-19T18-06,2024-03-19T18:06:32.834Z,0.39,10866284,2024-03-20T13:50:47.554Z,10854465,TSLA240322C00185000,TSLA,0.27,None,"Failed momentum gate, sell.",,0.39,0.27,0.12,W
